Groups,Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features,source_seed,relevance_score
"colombia,fintech",fintech colombia,"Informational, Navigational",2900,32,0.8,"Sitelinks, AI Overview, Image pack, Video, People also ask, Top stories, Related searches",fintech,50
"colombia,fintech",fintech en colombia,Informational,390,15,0.71,"AI Overview, Image pack, Video, Video carousel, Related searches",fintech,50
"colombia,fintech",que es fintech en colombia,Informational,170,16,0.08,"AI Overview, Video, Video carousel, Related searches",fintech,50
"especializaciones,fintech",especialización en fintech,Commercial,50,15,2.41,"Video, People also ask, Related searches, Ads top, Ads bottom",fintech,50
"colombia,marca,registro",registro de marca colombia,Informational,1600,21,0.25,"AI Overview, Video, People also ask, Related searches, Ads bottom",registro-de-marca-colombia,45
"colombia,fintech,prestamos",fintech colombia prestamos,Commercial,210,62,0.63,"Video carousel, People also ask, Related searches",fintech,45
"colombia,formulario,marca,registro",formulario para registro de marca en colombia,"Informational, Commercial",140,19,0.16,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",registro-de-marca-colombia,45
fintech,fintech,Informational,6600,48,0.68,"AI Overview, Video, Video carousel, People also ask, Local pack, Knowledge panel, Related searches",fintech,40
fintech,fintech que es,Informational,1900,34,0.36,"AI Overview, Video, Video carousel, Short videos, Related searches",fintech,40
"fintech,sas",fintech sas,Informational,1000,38,0.66,"AI Overview, Image pack, Video, Video carousel, People also ask, Local pack, Related searches, See results about",fintech,40
"colombia,intelectual,propiedad",propiedad intelectual en colombia,Informational,390,20,0.24,"AI Overview, Video, Video carousel, People also ask, Related searches",Propiedad-intelectual,40
"fintech,latam,marketing",latam fintech market,Navigational,320,19,0.43,"Sitelinks, Video, Short videos, People also ask, Related searches, See results about",fintech,40
"colombia,marca,precio,registro",registro de marca en colombia precio,Informational,320,15,0.18,"AI Overview, Video, People also ask, Related searches",registro-de-marca-colombia,40
"fintech,plataforma",plataforma fintech,Informational,260,38,0.57,"AI Overview, Image pack, Video, Video carousel, Related searches, Ads bottom",fintech,40
"fintech,plataforma",plataformas fintech,Informational,260,44,0.51,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",fintech,40
"intelectual,maestria,propiedad",maestria en propiedad intelectual,Informational,110,15,2.48,"Sitelinks, Video, Related searches, Ads bottom",Propiedad-intelectual,40
"colombia,cuanto,cuesta,marca,registro",cuanto cuesta el registro de marca en colombia,Informational,110,7,0.13,"AI Overview, Video, People also ask, Related searches",registro-de-marca-colombia,40
"colombia,fintech,prestamos",prestamos fintech colombia,"Informational, Transactional",70,68,0.44,"Video, People also ask, Related searches",fintech,40
"colombia,fintech",que es fintech colombia,Informational,70,22,0.0,"AI Overview, Video, Video carousel, Related searches",fintech,40
"asociacion,colombia,fintech",asociacion fintech colombia,Navigational,30,19,0.0,"Sitelinks, Image pack, Video, Related searches",fintech,40
"colombia,cuanto,fintech",cuantas fintech hay en colombia,Informational,30,20,0.0,"AI Overview, Video, Related searches",fintech,40
"colombia,ejemplos,fintech",ejemplos de fintech en colombia,Informational,30,17,0.0,"AI Overview, Video, People also ask, Related searches",fintech,40
"colombia,empresa,fintech",empresas fintech en colombia,Informational,30,20,0.68,"AI Overview, Image pack, Video, People also ask, Related searches",fintech,40
"colombia,fintech",fintech colombia que es,Informational,30,20,0.0,"AI Overview, Video, People also ask, Related searches",fintech,40
"fintech,maestria",maestria fintech,Commercial,30,24,5.05,"Video, Related searches, Ads top, Ads middle",fintech,40
"artificial,fintech,inteligencia",fintech inteligencia artificial,,20,50,0.0,,fintech,40
"blockchain,fintech",fintech blockchain,,10,50,0.0,,fintech,40
"licencia,saas,software",licencia de software saas,,10,50,0.0,,saas,40
"intelectual,propiedad",propiedad intelectual,Informational,2400,27,0.62,"AI Overview, Video, Video carousel, People also ask, Related searches",Propiedad-intelectual,35
"fintech,prestamos",fintech prestamos,"Informational, Transactional",260,62,0.82,"Video, People also ask, Related searches",fintech,35
"cmp,fintech,rapicredit",cmp rapicredit fintech,Navigational,210,26,0.26,"Sitelinks, AI Overview, Video, Related searches",fintech,35
"empresa,fintech",empresas fintech,Informational,140,24,0.47,"AI Overview, Image pack, Video, Related searches",fintech,35
"credito,fintech",creditos fintech,"Informational, Transactional",110,63,0.76,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",fintech,35
"fintech,funcion",fintech que es y como funciona,Informational,110,26,0.35,"Sitelinks, AI Overview, Video, Video carousel, Related searches",fintech,35
"colombia,intelectual,ley,propiedad",ley de propiedad intelectual colombia,Informational,110,23,0.0,"AI Overview, Video, Video carousel, Related searches",Propiedad-intelectual,35
"colombia,fintech,prestamos",fintech prestamos colombia,Informational,90,62,0.54,"Sitelinks, AI Overview, Video, Video carousel, Related searches",fintech,35
"abogado,intelectual,propiedad",abogado de propiedad intelectual,Commercial,90,20,0.57,"Reviews, People also ask, Local pack, Related searches",Propiedad-intelectual,35
"colombia,intelectual,propiedad",que es la propiedad intelectual en colombia,Informational,70,17,0.0,"AI Overview, Video, People also ask, Related searches",Propiedad-intelectual,35
"diferencia,industrial,intelectual,propiedad",diferencia entre propiedad intelectual y propiedad industrial,Informational,50,19,0.0,"AI Overview, Video, Related searches",Propiedad-intelectual,35
"colombia,marca,patente,registro",registro de marcas y patentes en colombia,Informational,40,13,0.2,"AI Overview, Video, Video carousel, People also ask, Related searches",registro-de-marca-colombia,35
"cmp,fintech,rapicredit,telefono",cmp rapicredit fintech telefono,"Informational, Transactional",30,19,0.3,"AI Overview, Video, Related searches",fintech,35
"colombia,empresa,fintech",empresas fintech colombia,Informational,30,25,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",fintech,35
"edtech,fintech",fintech edtech,"Informational, Transactional",30,9,0.0,"AI Overview, Video carousel, Related searches",fintech,35
"colombia,especializacion,intelectual,propiedad",especializacion en propiedad intelectual colombia,Commercial,30,13,2.51,"Video, Related searches, Ads top, Ads bottom",Propiedad-intelectual,35
"historia,intelectual,propiedad",historia de la propiedad intelectual,"Informational, Transactional",30,20,0.0,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",Propiedad-intelectual,35
"base,colombia,datos,marca,registro",base de datos de marcas registradas en colombia,Informational,30,18,0.0,"Video, People also ask, Related searches",registro-de-marca-colombia,35
"colombia,fintech,regular",regulación fintech en colombia,,20,50,0.0,,fintech,35
saas,saas,Informational,2900,43,0.77,"AI Overview, Video, People also ask, Related searches",saas,30
"intelectual,mundial,organizaciones,propiedad",organización mundial de la propiedad intelectual,Informational,480,36,0.0,"Video, Video carousel, People also ask, Knowledge panel, Related searches",Propiedad-intelectual,30
"especializacion,intelectual,propiedad",especializacion en propiedad intelectual,Informational,260,50,1.4,"Video, Related searches, Ads bottom",Propiedad-intelectual,30
"fintech,latam",fintech latam,Navigational,210,49,0.83,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",fintech,30
"fintech,latam",latam fintech,Navigational,210,31,0.83,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",fintech,30
"fintech,rapicredit",rapicredit fintech,Navigational,210,50,0.31,"Sitelinks, Video, Knowledge panel, Related searches",fintech,30
fintech,que es un fintech,Informational,140,31,0.06,"Sitelinks, AI Overview, Video, Short videos, Related searches",fintech,30
"credito,fintech",credito fintech,Informational,110,41,0.76,"Sitelinks, AI Overview, Video, Video carousel, Related searches",fintech,30
"america,fintech",fintech americas,Navigational,110,37,0.85,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom",fintech,30
"fintech,wales",walo fintech,Informational,110,31,0.25,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches",fintech,30
"plataforma,saas",plataforma saas,Informational,110,34,0.7,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",saas,30
"credito,fintech",fintech creditos,Commercial,90,65,0.84,"Video, Video carousel, Related searches",fintech,30
