keyword_id,keyword_text,cluster_name,is_main_keyword,intent,volume,kd,cpc,competitive_density,serp_features,trend,priority_score,enabled,status,url_target,brief_notes,content_id,published_url,source,created_at,updated_at
KW-FIN-001,fintech colombia,colombia,True,"Informational, Navigational",2900,32,0.8,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Top stories, Related searches",estable,50,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-002,fintech en colombia,colombia,False,Informational,390,15,0.71,0.0,"AI Overview, Image pack, Video, Video carousel, Related searches",estable,50,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-003,que es fintech en colombia,colombia,False,Informational,170,16,0.08,0.0,"AI Overview, Video, Video carousel, Related searches",estable,50,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-004,especialización en fintech,especializaciones,False,Commercial,50,15,2.41,0.0,"Video, People also ask, Related searches, Ads top, Ads bottom",estable,50,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-REG-001,registro de marca colombia,colombia,True,Informational,1600,21,0.25,0.0,"AI Overview, Video, People also ask, Related searches, Ads bottom",estable,45,True,pendiente,,Keyword de investigacion SEMrush - seed: registro-de-marca-colombia,,,semrush_magic_tool,46060,46060
KW-FIN-005,fintech colombia prestamos,colombia,False,Commercial,210,62,0.63,0.0,"Video carousel, People also ask, Related searches",estable,45,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-REG-002,formulario para registro de marca en colombia,colombia,False,"Informational, Commercial",140,19,0.16,0.0,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",estable,45,True,pendiente,,Keyword de investigacion SEMrush - seed: registro-de-marca-colombia,,,semrush_magic_tool,46060,46060
KW-FIN-006,fintech,fintech,True,Informational,6600,48,0.68,0.0,"AI Overview, Video, Video carousel, People also ask, Local pack, Knowledge panel, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-007,fintech que es,fintech,True,Informational,1900,34,0.36,0.0,"AI Overview, Video, Video carousel, Short videos, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-008,fintech sas,fintech,True,Informational,1000,38,0.66,0.0,"AI Overview, Image pack, Video, Video carousel, People also ask, Local pack, Related searches, See results about",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-PRO-001,propiedad intelectual en colombia,colombia,False,Informational,390,20,0.24,0.0,"AI Overview, Video, Video carousel, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: Propiedad-intelectual,,,semrush_magic_tool,46060,46060
KW-FIN-009,latam fintech market,fintech,False,Navigational,320,19,0.43,0.0,"Sitelinks, Video, Short videos, People also ask, Related searches, See results about",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-REG-003,registro de marca en colombia precio,colombia,False,Informational,320,15,0.18,0.0,"AI Overview, Video, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: registro-de-marca-colombia,,,semrush_magic_tool,46060,46060
KW-FIN-010,plataforma fintech,fintech,False,Informational,260,38,0.57,0.0,"AI Overview, Image pack, Video, Video carousel, Related searches, Ads bottom",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-011,plataformas fintech,fintech,False,Informational,260,44,0.51,0.0,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-PRO-002,maestria en propiedad intelectual,intelectual,False,Informational,110,15,2.48,0.0,"Sitelinks, Video, Related searches, Ads bottom",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: Propiedad-intelectual,,,semrush_magic_tool,46060,46060
KW-REG-004,cuanto cuesta el registro de marca en colombia,colombia,False,Informational,110,7,0.13,0.0,"AI Overview, Video, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: registro-de-marca-colombia,,,semrush_magic_tool,46060,46060
KW-FIN-012,prestamos fintech colombia,colombia,False,"Informational, Transactional",70,68,0.44,0.0,"Video, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-013,que es fintech colombia,colombia,False,Informational,70,22,0.0,0.0,"AI Overview, Video, Video carousel, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-014,asociacion fintech colombia,asociacion,False,Navigational,30,19,0.0,0.0,"Sitelinks, Image pack, Video, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-015,cuantas fintech hay en colombia,colombia,False,Informational,30,20,0.0,0.0,"AI Overview, Video, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-016,ejemplos de fintech en colombia,colombia,False,Informational,30,17,0.0,0.0,"AI Overview, Video, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-017,empresas fintech en colombia,colombia,False,Informational,30,20,0.68,0.0,"AI Overview, Image pack, Video, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-018,fintech colombia que es,colombia,False,Informational,30,20,0.0,0.0,"AI Overview, Video, People also ask, Related searches",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-019,maestria fintech,fintech,False,Commercial,30,24,5.05,0.0,"Video, Related searches, Ads top, Ads middle",estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-020,fintech inteligencia artificial,artificial,False,Informational,20,50,0.0,0.0,,estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-021,fintech blockchain,blockchain,False,Informational,10,50,0.0,0.0,,estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-SAA-001,licencia de software saas,licencia,False,Informational,10,50,0.0,0.0,,estable,40,True,pendiente,,Keyword de investigacion SEMrush - seed: saas,,,semrush_magic_tool,46060,46060
KW-PRO-003,propiedad intelectual,intelectual,False,Informational,2400,27,0.62,0.0,"AI Overview, Video, Video carousel, People also ask, Related searches",estable,35,True,pendiente,,Keyword de investigacion SEMrush - seed: Propiedad-intelectual,,,semrush_magic_tool,46060,46060
KW-FIN-022,fintech prestamos,fintech,False,"Informational, Transactional",260,62,0.82,0.0,"Video, People also ask, Related searches",estable,35,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-023,cmp rapicredit fintech,cmp,False,Navigational,210,26,0.26,0.0,"Sitelinks, AI Overview, Video, Related searches",estable,35,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-024,empresas fintech,empresa,False,Informational,140,24,0.47,0.0,"AI Overview, Image pack, Video, Related searches",estable,35,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-025,creditos fintech,credito,False,"Informational, Transactional",110,63,0.76,0.0,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",estable,35,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
KW-FIN-026,fintech que es y como funciona,fintech,False,Informational,110,26,0.35,0.0,"Sitelinks, AI Overview, Video, Video carousel, Related searches",estable,35,True,pendiente,,Keyword de investigacion SEMrush - seed: fintech,,,semrush_magic_tool,46060,46060
