Rank,Keyword,Volume,Difficulty,CPC,Intent,Opportunity_Score,Click_Potential
1,sipi sic,5400,27,0.23,Navigational,39.42, Site Links
2,tipos de empresas,4400,28,0.45,Informational,31.68, People Also Ask
3,propiedad intelectual,2400,27,0.62,Informational,17.52, AI Overview
4,registro de marca,1900,17,0.28,Informational,15.77, Video Carousel
5,marca registrada,2400,36,0.18,Informational,15.36, Related Searches
6,tipos de empresas en colombia,1300,15,0.01,Informational,11.05, AI Overview
7,marcas registradas en colombia,1000,0,0.21,Informational,10.00, Related Searches
8,como registrar una marca en colombia,1000,17,0.15,Informational,8.30, AI Overview
9,que son los derechos de autor,720,0,0.0,Informational,7.20, People Also Ask
10,clasificacion niza,720,35,0.0,"""Informational",4.68, Related Searches
11,lois,720,38,0.0,Navigational,4.46, Video
12,asesoria legal para empresas,480,16,0.97,Commercial,4.03, Adwords Bottom
13,cuanto vale registrar una marca en colombia,390,19,0.13,Informational,3.16, Related Searches
14,propiedad intelectual en colombia,390,20,0.24,Informational,3.12, People Also Ask
15,propiedad intelectual y derechos de autor,390,21,0.27,Informational,3.08, Related Searches
16,organización mundial de la propiedad intelectual,480,36,0.0,Informational,3.07, Video Carousel
17,que es la propiedad intelectual,480,36,0.0,Informational,3.07, People Also Ask
18,tipos de marcas,390,25,0.0,Informational,2.92, Knowledge Panel
19,registro de marca en colombia precio,320,13,0.18,Informational,2.78," AI Overview"""
20,constitucion de una empresa,320,16,0.37,Informational,2.69, Video
21,especializacion en propiedad intelectual,260,0,1.4,Informational,2.60," Related Searches"""
22,colores marcas,260,14,0.0,Informational,2.24, Image
23,propiedad intelectual ejemplos,140,0,0.0,Informational,1.40, Image
24,consulting group,170,24,0.42,Commercial,1.29, Related Searches
25,diplomado propiedad intelectual,110,0,0.42,Informational,1.10," Related Searches"""
26,oficina virtual de propiedad industrial sipi,140,22,0.26,"""Informational",1.09, People Also Ask
27,cuanto cuesta el registro de marca en colombia,110,7,0.13,Informational,1.02," Related Searches"""
28,requisitos para registrar una marca en colombia,110,8,0.11,Informational,1.01, Image Pack
29,registro de software en colombia,110,9,0.0,Informational,1.00, Video Carousel
30,maestria en propiedad intelectual,110,15,2.48,Informational,0.94, Site Links
